Date,Open,High,Low,Close,Volume,OpenInt
2006-03-22,36.016,36.016,35.264,35.582,206673,0
2006-03-23,35.504,35.898,35.256,35.898,183797,0
2006-03-24,35.953,36.146,35.812,36.146,118397,0
2006-03-27,36.138,36.146,35.627,35.99,145538,0
2006-03-28,35.929,36.047,35.627,36.016,107149,0
2006-03-29,36.75,36.75,35.907,36.224,393965,0
2006-03-30,36.146,36.278,36.016,36.253,147091,0
2006-03-31,36.99,36.99,35.859,36.052,159242,0
2006-04-03,36.092,36.217,35.868,36.169,192716,0
2006-04-04,36.245,36.556,35.99,36.278,99398,0
2006-04-05,36.37,36.439,35.915,36.378,102498,0
2006-04-06,36.402,36.918,35.983,36.038,342133,0
2006-04-07,36.131,36.378,35.256,35.381,167772,0
2006-04-10,35.457,35.967,35.319,35.627,128866,0
2006-04-11,35.711,35.99,35.619,35.82,138303,0
2006-04-12,35.683,35.859,35.264,35.457,102754,0
2006-04-13,35.436,35.582,34.917,35.086,98487,0
2006-04-17,35.031,35.358,34.839,35.358,164280,0
2006-04-18,35.358,35.837,35.358,35.696,230845,0
2006-04-19,35.761,36.456,35.761,36.424,196594,0
2006-04-20,36.424,36.533,35.792,36.131,134420,0
2006-04-21,36.672,36.734,35.767,36.047,135846,0
2006-04-24,36.047,36.047,35.542,35.852,186512,0
2006-04-25,35.852,36.069,35.202,35.975,139593,0
2006-04-26,35.975,36.116,35.52,35.669,119558,0
2006-04-27,35.511,36.278,35.326,35.719,85304,0
2006-04-28,35.587,36.31,35.551,36.185,104694,0
2006-05-01,36.286,36.634,36.122,36.122,209777,0
2006-05-02,36.122,37.115,35.845,36.702,156786,0
2006-05-03,36.634,36.672,36.153,36.502,90993,0
2006-05-04,36.51,36.648,36.245,36.526,120464,0
2006-05-05,36.533,37.47,36.23,37.261,199308,0
2006-05-08,37.261,37.564,37.135,37.36,172425,0
2006-05-09,37.252,37.315,36.967,37.02,218954,0
2006-05-10,37.02,37.231,36.951,37.035,134553,0
2006-05-11,36.802,36.851,35.898,35.953,258503,0
2006-05-12,35.915,36.016,35.481,35.511,124989,0
2006-05-15,35.436,35.852,35.165,35.696,124598,0
2006-05-16,35.619,35.868,35.511,35.595,74060,0
2006-05-17,35.442,35.703,34.668,34.759,318095,0
2006-05-18,34.737,34.893,34.359,34.39,188063,0
2006-05-19,34.39,35.117,34.305,35.049,162341,0
2006-05-22,34.853,35.736,34.753,35.551,290304,0
2006-05-23,35.703,36.069,35.41,35.575,298058,0
2006-05-24,35.495,36.038,35.009,35.661,276859,0
2006-05-25,35.82,36.03,35.41,36.03,195433,0
2006-05-26,36.169,36.169,35.683,35.859,195692,0
2006-05-30,35.784,35.784,34.824,34.839,229812,0
2006-05-31,34.869,35.52,34.737,35.187,273630,0
2006-06-01,35.28,35.69,34.893,35.551,281126,0
2006-06-02,35.728,35.999,35.381,35.784,351956,0
2006-06-05,35.703,35.923,35.381,35.551,297929,0
2006-06-06,35.644,35.744,35.086,35.595,286168,0
